,Loan_ID,Interest_Rate
0,10164310,2
1,10164311,1
2,10164312,3
3,10164313,3
4,10164314,1
5,10164315,3
6,10164316,3
7,10164317,3
8,10164318,2
9,10164319,3
10,10164320,1
11,10164321,2
12,10164322,3
13,10164323,2
14,10164324,2
15,10164325,1
16,10164326,1
17,10164327,2
18,10164328,3
19,10164329,2
20,10164330,1
21,10164331,2
22,10164332,3
23,10164333,2
24,10164334,3
25,10164335,2
26,10164336,2
27,10164337,2
28,10164338,2
29,10164339,2
30,10164340,2
31,10164341,3
32,10164342,2
33,10164343,2
34,10164344,3
35,10164345,2
36,10164346,3
37,10164347,3
38,10164348,2
39,10164349,2
40,10164350,2
41,10164351,3
42,10164352,1
43,10164353,3
44,10164354,2
45,10164355,3
46,10164356,2
47,10164357,3
48,10164358,2
49,10164359,2
50,10164360,1
51,10164361,1
52,10164362,3
53,10164363,2
54,10164364,2
55,10164365,1
56,10164366,2
57,10164367,2
58,10164368,1
59,10164369,2
60,10164370,1
61,10164371,3
62,10164372,3
63,10164373,2
64,10164374,3
65,10164375,1
66,10164376,2
67,10164377,2
68,10164378,1
69,10164379,2
70,10164380,2
71,10164381,2
72,10164382,2
73,10164383,3
74,10164384,3
75,10164385,2
76,10164386,2
77,10164387,3
78,10164388,3
79,10164389,1
80,10164390,2
81,10164391,2
82,10164392,2
83,10164393,3
84,10164394,2
85,10164395,2
86,10164396,1
87,10164397,2
88,10164398,2
89,10164399,3
90,10164400,2
91,10164401,2
92,10164402,2
93,10164403,1
94,10164404,2
95,10164405,3
96,10164406,2
97,10164407,2
98,10164408,2
99,10164409,3
100,10164410,2
101,10164411,2
102,10164412,2
103,10164413,3
104,10164414,2
105,10164415,2
106,10164416,3
107,10164417,2
108,10164418,2
109,10164419,3
110,10164420,3
111,10164421,2
112,10164422,3
113,10164423,3
114,10164424,2
115,10164425,2
116,10164426,2
117,10164427,3
118,10164428,2
119,10164429,2
120,10164430,3
121,10164431,1
122,10164432,1
123,10164433,2
124,10164434,3
125,10164435,2
126,10164436,3
127,10164437,2
128,10164438,3
129,10164439,2
130,10164440,2
131,10164441,3
132,10164442,3
133,10164443,3
134,10164444,2
135,10164445,2
136,10164446,2
137,10164447,2
138,10164448,2
139,10164449,1
140,10164450,1
141,10164451,3
142,10164452,3
143,10164453,3
144,10164454,1
145,10164455,3
146,10164456,2
147,10164457,1
148,10164458,1
149,10164459,3
150,10164460,2
151,10164461,2
152,10164462,2
153,10164463,3
154,10164464,2
155,10164465,2
156,10164466,2
157,10164467,2
158,10164468,3
159,10164469,3
160,10164470,3
161,10164471,2
162,10164472,2
163,10164473,2
164,10164474,2
165,10164475,2
166,10164476,2
167,10164477,3
168,10164478,2
169,10164479,2
170,10164480,2
171,10164481,3
172,10164482,3
173,10164483,2
174,10164484,2
175,10164485,3
176,10164486,2
177,10164487,3
178,10164488,2
179,10164489,2
180,10164490,3
181,10164491,3
182,10164492,3
183,10164493,3
184,10164494,3
185,10164495,2
186,10164496,2
187,10164497,2
188,10164498,3
189,10164499,2
190,10164500,2
191,10164501,2
192,10164502,3
193,10164503,1
194,10164504,3
195,10164505,3
196,10164506,3
197,10164507,3
198,10164508,3
199,10164509,3
200,10164510,2
201,10164511,2
202,10164512,3
203,10164513,1
204,10164514,1
205,10164515,3
206,10164516,2
207,10164517,2
208,10164518,1
209,10164519,2
210,10164520,3
211,10164521,2
212,10164522,2
213,10164523,2
214,10164524,1
215,10164525,2
216,10164526,2
217,10164527,3
218,10164528,3
219,10164529,2
220,10164530,2
221,10164531,2
222,10164532,2
223,10164533,2
224,10164534,1
225,10164535,3
226,10164536,2
227,10164537,2
228,10164538,2
229,10164539,3
230,10164540,3
231,10164541,2
232,10164542,2
233,10164543,2
234,10164544,3
235,10164545,3
236,10164546,3
237,10164547,2
238,10164548,2
239,10164549,3
240,10164550,3
241,10164551,3
242,10164552,2
243,10164553,3
244,10164554,2
245,10164555,1
246,10164556,1
247,10164557,2
248,10164558,3
249,10164559,3
250,10164560,3
251,10164561,3
252,10164562,2
253,10164563,2
254,10164564,2
255,10164565,3
256,10164566,1
257,10164567,3
258,10164568,1
259,10164569,2
260,10164570,3
261,10164571,3
262,10164572,3
263,10164573,2
264,10164574,3
265,10164575,2
266,10164576,3
267,10164577,2
268,10164578,3
269,10164579,3
270,10164580,2
271,10164581,1
272,10164582,2
273,10164583,2
274,10164584,2
275,10164585,2
276,10164586,3
277,10164587,3
278,10164588,2
279,10164589,3
280,10164590,2
281,10164591,1
282,10164592,2
283,10164593,2
284,10164594,2
285,10164595,3
286,10164596,2
287,10164597,3
288,10164598,2
289,10164599,3
290,10164600,3
291,10164601,2
292,10164602,3
293,10164603,1
294,10164604,2
295,10164605,2
296,10164606,2
297,10164607,3
298,10164608,2
299,10164609,2
300,10164610,2
301,10164611,1
302,10164612,2
303,10164613,1
304,10164614,3
305,10164615,2
306,10164616,2
307,10164617,3
308,10164618,3
309,10164619,2
310,10164620,2
311,10164621,2
312,10164622,3
313,10164623,3
314,10164624,2
315,10164625,3
316,10164626,1
317,10164627,3
318,10164628,2
319,10164629,2
320,10164630,2
321,10164631,2
322,10164632,2
323,10164633,2
324,10164634,2
325,10164635,3
326,10164636,2
327,10164637,2
328,10164638,2
329,10164639,3
330,10164640,1
331,10164641,2
332,10164642,3
333,10164643,2
334,10164644,2
335,10164645,3
336,10164646,3
337,10164647,2
338,10164648,2
339,10164649,2
340,10164650,1
341,10164651,3
342,10164652,2
343,10164653,3
344,10164654,3
345,10164655,3
346,10164656,1
347,10164657,2
348,10164658,3
349,10164659,2
350,10164660,3
351,10164661,3
352,10164662,2
353,10164663,3
354,10164664,3
355,10164665,2
356,10164666,2
357,10164667,2
358,10164668,2
359,10164669,2
360,10164670,2
361,10164671,2
362,10164672,2
363,10164673,2
364,10164674,1
365,10164675,2
366,10164676,3
367,10164677,2
368,10164678,3
369,10164679,2
370,10164680,3
371,10164681,2
372,10164682,2
373,10164683,2
374,10164684,3
375,10164685,2
376,10164686,2
377,10164687,1
378,10164688,3
379,10164689,1
380,10164690,2
381,10164691,1
382,10164692,1
383,10164693,3
384,10164694,2
385,10164695,3
386,10164696,3
387,10164697,2
388,10164698,2
389,10164699,2
390,10164700,2
391,10164701,3
392,10164702,2
393,10164703,2
394,10164704,1
395,10164705,2
396,10164706,2
397,10164707,3
398,10164708,2
399,10164709,2
400,10164710,3
401,10164711,1
402,10164712,1
403,10164713,2
404,10164714,2
405,10164715,3
406,10164716,3
407,10164717,2
408,10164718,1
409,10164719,3
410,10164720,3
411,10164721,3
412,10164722,2
413,10164723,3
414,10164724,3
415,10164725,2
416,10164726,2
417,10164727,3
418,10164728,2
419,10164729,3
420,10164730,2
421,10164731,1
422,10164732,3
423,10164733,2
424,10164734,3
425,10164735,2
426,10164736,2
427,10164737,2
428,10164738,3
429,10164739,2
430,10164740,3
431,10164741,2
432,10164742,2
433,10164743,3
434,10164744,2
435,10164745,2
436,10164746,2
437,10164747,1
438,10164748,1
439,10164749,2
440,10164750,2
441,10164751,3
442,10164752,2
443,10164753,2
444,10164754,2
445,10164755,1
446,10164756,3
447,10164757,2
448,10164758,2
449,10164759,2
450,10164760,3
451,10164761,3
452,10164762,2
453,10164763,2
454,10164764,2
455,10164765,3
456,10164766,2
457,10164767,3
458,10164768,2
459,10164769,2
460,10164770,3
461,10164771,2
462,10164772,2
463,10164773,2
464,10164774,1
465,10164775,3
466,10164776,3
467,10164777,2
468,10164778,3
469,10164779,2
470,10164780,2
471,10164781,3
472,10164782,3
473,10164783,3
474,10164784,2
475,10164785,2
476,10164786,1
477,10164787,3
478,10164788,3
479,10164789,3
480,10164790,1
481,10164791,1
482,10164792,3
483,10164793,2
484,10164794,3
485,10164795,3
486,10164796,3
487,10164797,2
488,10164798,2
489,10164799,2
490,10164800,3
491,10164801,3
492,10164802,2
493,10164803,2
494,10164804,1
495,10164805,2
496,10164806,3
497,10164807,3
498,10164808,3
499,10164809,2
500,10164810,2
501,10164811,2
502,10164812,2
503,10164813,3
504,10164814,2
505,10164815,2
506,10164816,3
507,10164817,2
508,10164818,2
509,10164819,1
510,10164820,2
511,10164821,3
512,10164822,2
513,10164823,3
514,10164824,3
515,10164825,2
516,10164826,2
517,10164827,2
518,10164828,3
519,10164829,3
520,10164830,3
521,10164831,3
522,10164832,3
523,10164833,2
524,10164834,2
525,10164835,3
526,10164836,2
527,10164837,2
528,10164838,3
529,10164839,3
530,10164840,2
531,10164841,3
532,10164842,2
533,10164843,2
534,10164844,2
535,10164845,3
536,10164846,3
537,10164847,3
538,10164848,3
539,10164849,3
540,10164850,1
541,10164851,2
542,10164852,2
543,10164853,2
544,10164854,1
545,10164855,3
546,10164856,2
547,10164857,3
548,10164858,3
549,10164859,3
550,10164860,3
551,10164861,2
552,10164862,3
553,10164863,3
554,10164864,3
555,10164865,3
556,10164866,3
557,10164867,3
558,10164868,3
559,10164869,2
560,10164870,3
561,10164871,2
562,10164872,3
563,10164873,1
564,10164874,2
565,10164875,2
566,10164876,2
567,10164877,1
568,10164878,2
569,10164879,2
570,10164880,3
571,10164881,2
572,10164882,2
573,10164883,1
574,10164884,3
575,10164885,2
576,10164886,2
577,10164887,2
578,10164888,1
579,10164889,2
580,10164890,3
581,10164891,3
582,10164892,3
583,10164893,2
584,10164894,3
585,10164895,1
586,10164896,2
587,10164897,1
588,10164898,2
589,10164899,3
590,10164900,3
591,10164901,2
592,10164902,1
593,10164903,2
594,10164904,2
595,10164905,2
596,10164906,3
597,10164907,1
598,10164908,3
599,10164909,3
600,10164910,3
601,10164911,3
602,10164912,2
603,10164913,2
604,10164914,2
605,10164915,3
606,10164916,2
607,10164917,2
608,10164918,2
609,10164919,2
610,10164920,2
611,10164921,2
612,10164922,2
613,10164923,2
614,10164924,2
615,10164925,1
616,10164926,2
617,10164927,2
618,10164928,2
619,10164929,1
620,10164930,2
621,10164931,2
622,10164932,2
623,10164933,3
624,10164934,2
625,10164935,3
626,10164936,2
627,10164937,2
628,10164938,1
629,10164939,2
630,10164940,1
631,10164941,3
632,10164942,1
633,10164943,1
634,10164944,2
635,10164945,3
636,10164946,2
637,10164947,1
638,10164948,2
639,10164949,2
640,10164950,3
641,10164951,3
642,10164952,2
643,10164953,2
644,10164954,2
645,10164955,3
646,10164956,2
647,10164957,2
648,10164958,2
649,10164959,3
650,10164960,3
651,10164961,3
652,10164962,2
653,10164963,2
654,10164964,3
655,10164965,2
656,10164966,2
657,10164967,3
658,10164968,2
659,10164969,2
660,10164970,2
661,10164971,2
662,10164972,2
663,10164973,2
664,10164974,3
665,10164975,2
666,10164976,1
667,10164977,2
668,10164978,3
669,10164979,2
670,10164980,2
671,10164981,2
672,10164982,3
673,10164983,3
674,10164984,2
675,10164985,2
676,10164986,2
677,10164987,3
678,10164988,2
679,10164989,2
680,10164990,3
681,10164991,1
682,10164992,3
683,10164993,3
684,10164994,1
685,10164995,2
686,10164996,2
687,10164997,1
688,10164998,3
689,10164999,3
690,10165000,3
691,10165001,3
692,10165002,2
693,10165003,3
694,10165004,2
695,10165005,2
696,10165006,1
697,10165007,2
698,10165008,2
699,10165009,3
700,10165010,1
701,10165011,3
702,10165012,3
703,10165013,1
704,10165014,3
705,10165015,3
706,10165016,3
707,10165017,3
708,10165018,3
709,10165019,2
710,10165020,3
711,10165021,1
712,10165022,1
713,10165023,2
714,10165024,2
715,10165025,3
716,10165026,3
717,10165027,1
718,10165028,3
719,10165029,2
720,10165030,2
721,10165031,2
722,10165032,3
723,10165033,2
724,10165034,2
725,10165035,2
726,10165036,2
727,10165037,2
728,10165038,3
729,10165039,2
730,10165040,1
731,10165041,3
732,10165042,2
733,10165043,2
734,10165044,3
735,10165045,1
736,10165046,2
737,10165047,3
738,10165048,1
739,10165049,3
740,10165050,2
741,10165051,2
742,10165052,2
743,10165053,2
744,10165054,1
745,10165055,1
746,10165056,2
747,10165057,2
748,10165058,2
749,10165059,2
750,10165060,2
751,10165061,2
752,10165062,3
753,10165063,2
754,10165064,2
755,10165065,2
756,10165066,2
757,10165067,3
758,10165068,1
759,10165069,2
760,10165070,2
761,10165071,3
762,10165072,1
763,10165073,2
764,10165074,2
765,10165075,2
766,10165076,2
767,10165077,3
768,10165078,2
769,10165079,3
770,10165080,3
771,10165081,3
772,10165082,2
773,10165083,3
774,10165084,1
775,10165085,2
776,10165086,2
777,10165087,3
778,10165088,1
779,10165089,2
780,10165090,2
781,10165091,2
782,10165092,3
783,10165093,3
784,10165094,2
785,10165095,2
786,10165096,2
787,10165097,1
788,10165098,3
789,10165099,1
790,10165100,3
791,10165101,2
792,10165102,1
793,10165103,3
794,10165104,3
795,10165105,2
796,10165106,3
797,10165107,2
798,10165108,3
799,10165109,2
800,10165110,2
801,10165111,1
802,10165112,3
803,10165113,2
804,10165114,3
805,10165115,2
806,10165116,3
807,10165117,1
808,10165118,2
809,10165119,1
810,10165120,3
811,10165121,3
812,10165122,1
813,10165123,3
814,10165124,1
815,10165125,3
816,10165126,1
817,10165127,2
818,10165128,3
819,10165129,2
820,10165130,1
821,10165131,3
822,10165132,2
823,10165133,3
824,10165134,2
825,10165135,2
826,10165136,2
827,10165137,2
828,10165138,2
829,10165139,2
830,10165140,1
831,10165141,3
832,10165142,2
833,10165143,3
834,10165144,2
835,10165145,2
836,10165146,3
837,10165147,1
838,10165148,3
839,10165149,3
840,10165150,3
841,10165151,2
842,10165152,3
843,10165153,2
