iter	MultiClass
0	1.080446097
1	1.064656682
2	1.051459142
3	1.040309145
4	1.031024268
5	1.023137251
6	1.015813198
7	1.010462099
8	1.005505128
9	1.000902746
10	0.9966381678
11	0.9928521727
12	0.9894129256
13	0.9866444326
14	0.9839426956
15	0.9814679031
16	0.9794206271
17	0.9774759106
18	0.9757744509
19	0.974546791
20	0.9729662051
21	0.9716658875
22	0.9703559405
23	0.9690538692
24	0.9679628841
25	0.9667865829
26	0.965770069
27	0.9648571036
28	0.9640097757
29	0.9632305655
30	0.9624554802
31	0.9616192516
32	0.9609374372
33	0.9602584645
34	0.9595987963
35	0.9590358892
36	0.9585100838
37	0.9580363818
38	0.9574587328
39	0.9569409326
40	0.9564879061
41	0.9560298962
42	0.9555858553
43	0.9550911897
44	0.9547076053
45	0.9543267899
46	0.9539158403
47	0.9535883086
48	0.9532132934
49	0.9529335099
50	0.9526435867
51	0.9522997633
52	0.9520247973
53	0.9517212583
54	0.9514701458
55	0.9512857319
56	0.951020403
57	0.9506381716
58	0.9503795863
59	0.9501508573
60	0.9500202141
61	0.9497738524
62	0.9493964182
63	0.9491927507
64	0.948959059
65	0.9487499036
66	0.9485425091
67	0.9483243936
68	0.9481649314
69	0.9479442445
70	0.9477243646
71	0.9475330278
72	0.9473949702
73	0.9472470798
74	0.9470665398
75	0.946890794
76	0.9467434915
77	0.9466094837
78	0.946430658
79	0.9462817674
80	0.9461167444
81	0.9459721968
82	0.9458186263
83	0.9456807188
84	0.9455498464
85	0.9454394605
86	0.9453160104
87	0.9451871814
88	0.9450781478
89	0.9449505297
90	0.9447288084
91	0.9446207746
92	0.9444920431
93	0.9443333222
94	0.9442001211
95	0.9440916425
96	0.943989056
97	0.9438899767
98	0.9436851795
99	0.943615054
100	0.9435072505
101	0.9433590194
102	0.9432506503
103	0.9431549296
104	0.942979155
105	0.9428849455
106	0.9428013716
107	0.9425988813
108	0.9425284219
109	0.9423719395
110	0.9422743767
111	0.9421814906
112	0.9420998085
113	0.9420058051
114	0.9418631851
115	0.9417980017
116	0.9416888313
117	0.9416197937
118	0.9415062322
119	0.9414078064
120	0.9413424894
121	0.9412496972
122	0.9411714804
123	0.9410476803
124	0.9409551628
125	0.9408889443
126	0.9408119052
127	0.9407220913
128	0.9405699458
129	0.9404650358
130	0.9403813011
131	0.9403140244
132	0.9402264992
133	0.9401100032
134	0.9399687917
135	0.9398926251
136	0.9397782487
137	0.9397177717
138	0.9395971358
139	0.9395125137
140	0.9393378048
141	0.9392290839
142	0.939173161
143	0.9390989269
144	0.9390366611
145	0.9389501397
146	0.9388930153
147	0.9387252707
148	0.9386300985
149	0.9385465729
150	0.9384448437
151	0.9383814104
152	0.9382572872
153	0.9381931314
154	0.9380336634
155	0.9379292398
156	0.9378356897
157	0.9377608356
158	0.9377078337
159	0.9375356484
160	0.9374318331
161	0.9372993702
162	0.9371967659
163	0.9371370735
164	0.9370677742
165	0.9369863794
166	0.9368900476
167	0.9368423637
168	0.9367516145
169	0.9366855299
170	0.9366171771
171	0.9365283608
172	0.936469532
173	0.9363523103
174	0.9362178685
175	0.9360803463
176	0.9360023341
177	0.9358957497
178	0.9357985607
179	0.935728264
180	0.9356638328
181	0.9355860145
182	0.9355207371
183	0.9354674305
184	0.9353663858
185	0.9353276823
186	0.9352821406
187	0.9352138095
188	0.9351141888
189	0.9350651578
190	0.9349653748
191	0.9348972157
192	0.9348312661
193	0.9346837687
194	0.9346048603
195	0.9345376024
196	0.9344677105
197	0.9344023856
198	0.9342735743
199	0.9342150308
200	0.9341424065
201	0.9340905871
202	0.9340444026
203	0.933987566
204	0.9339485098
205	0.9338903819
206	0.9338379204
207	0.9337989941
208	0.9337408372
