iter	Passed	Remaining
0	36	36584
1	74	37313
2	111	37042
3	144	36095
4	178	35513
5	220	36470
6	256	36408
7	289	35844
8	323	35655
9	357	35421
10	391	35166
11	431	35554
12	465	35359
13	500	35259
14	533	35039
15	567	34877
16	600	34739
17	639	34907
18	672	34744
19	705	34573
20	737	34396
21	770	34249
22	806	34258
23	842	34275
24	874	34121
25	905	33923
26	942	33947
27	980	34036
28	1020	34155
29	1064	34405
30	1111	34745
31	1152	34862
32	1195	35018
33	1239	35229
34	1280	35317
35	1318	35295
36	1355	35280
37	1394	35312
38	1436	35405
39	1476	35444
40	1510	35322
41	1547	35304
42	1581	35201
43	1625	35328
44	1665	35344
45	1703	35330
46	1736	35200
47	1767	35060
48	1813	35201
49	1851	35175
50	1880	34997
51	1915	34918
52	1949	34834
53	1982	34724
54	2023	34766
55	2065	34815
56	2098	34716
57	2133	34644
58	2165	34531
59	2198	34449
60	2232	34368
61	2263	34243
62	2296	34148
63	2327	34038
64	2357	33915
65	2388	33805
66	2425	33769
67	2457	33681
68	2486	33556
69	2518	33457
70	2549	33360
71	2578	33238
72	2612	33169
73	2641	33059
74	2673	32975
75	2705	32896
76	2736	32806
77	2769	32741
78	2803	32685
79	2834	32595
80	2865	32516
81	2896	32421
82	2928	32351
83	2959	32276
84	2994	32231
85	3027	32178
86	3060	32113
87	3092	32046
88	3122	31959
89	3154	31900
90	3188	31852
91	3219	31778
92	3248	31686
93	3281	31627
94	3310	31541
95	3340	31459
96	3377	31438
97	3407	31360
98	3441	31318
99	3471	31243
100	3502	31178
101	3534	31118
102	3570	31094
103	3601	31026
104	3633	30968
105	3665	30915
106	3696	30847
107	3728	30798
108	3761	30746
109	3795	30711
110	3824	30631
111	3855	30568
112	3887	30515
113	3917	30450
114	3951	30412
115	3983	30354
116	4026	30386
117	4057	30329
118	4090	30284
119	4124	30244
120	4156	30197
121	4186	30130
122	4217	30071
123	4248	30011
124	4279	29956
125	4310	29898
126	4343	29857
127	4373	29794
128	4402	29723
129	4433	29668
130	4464	29615
131	4495	29560
132	4529	29527
133	4559	29466
134	4594	29441
135	4630	29418
136	4662	29369
137	4691	29305
138	4725	29272
139	4754	29207
140	4784	29145
141	4817	29109
142	4847	29049
143	4877	28991
144	4910	28957
145	4941	28902
146	4970	28843
147	5011	28849
148	5044	28811
149	5077	28770
150	5112	28744
151	5144	28703
152	5173	28640
153	5205	28593
154	5235	28541
155	5269	28507
156	5300	28461
157	5331	28411
158	5361	28360
159	5397	28335
160	5430	28296
161	5462	28256
162	5497	28231
163	5527	28177
164	5558	28130
165	5588	28075
166	5619	28032
167	5650	27985
168	5683	27945
169	5713	27895
170	5743	27845
171	5773	27794
172	5804	27746
173	5837	27710
174	5874	27695
175	5908	27662
176	5939	27618
177	5975	27595
178	6012	27575
179	6047	27550
180	6079	27508
181	6111	27466
182	6141	27419
183	6171	27370
184	6201	27319
185	6231	27270
186	6263	27230
187	6294	27188
188	6327	27150
189	6357	27101
190	6388	27059
191	6421	27024
192	6454	26989
193	6486	26950
194	6519	26912
195	6549	26864
196	6579	26818
197	6609	26770
198	6645	26748
199	6675	26700
200	6707	26662
201	6738	26621
202	6768	26572
203	6798	26526
204	6832	26496
205	6863	26452
206	6894	26412
207	6923	26364
208	6954	26319
209	6995	26317
210	7030	26290
211	7061	26247
212	7094	26211
213	7126	26175
214	7156	26129
215	7187	26087
216	7222	26060
217	7252	26017
218	7283	25974
219	7314	25934
220	7345	25893
221	7378	25858
222	7412	25827
223	7441	25779
224	7470	25733
225	7500	25688
226	7531	25645
227	7561	25603
228	7597	25578
229	7627	25535
230	7657	25493
231	7689	25454
232	7721	25416
233	7751	25373
234	7786	25347
235	7821	25319
236	7855	25290
237	7890	25262
238	7923	25228
239	7961	25212
240	8002	25203
241	8036	25172
242	8069	25138
243	8106	25118
244	8142	25091
245	8172	25047
246	8205	25016
247	8235	24972
248	8265	24930
249	8295	24885
250	8326	24846
251	8356	24805
252	8391	24775
253	8425	24746
254	8456	24704
255	8488	24669
256	8520	24633
257	8551	24594
258	8585	24563
259	8616	24524
260	8647	24485
261	8680	24451
262	8711	24412
263	8743	24376
264	8779	24351
265	8810	24312
266	8840	24271
267	8875	24242
268	8906	24204
269	8945	24185
270	8978	24152
271	9008	24112
272	9038	24070
273	9069	24029
274	9102	23996
275	9134	23962
276	9166	23925
277	9199	23892
278	9230	23854
279	9262	23816
280	9294	23782
281	9324	23740
282	9359	23713
283	9391	23677
284	9424	23643
285	9455	23605
286	9486	23567
287	9515	23525
288	9547	23487
289	9578	23450
290	9608	23410
291	9642	23379
292	9674	23344
293	9704	23303
294	9741	23281
295	9785	23273
296	9819	23242
297	9849	23203
298	9885	23176
299	9917	23141
300	9955	23120
301	9987	23084
302	10019	23047
303	10048	23005
304	10081	22971
305	10110	22931
306	10146	22902
307	10178	22868
308	10212	22837
309	10242	22796
310	10272	22758
311	10303	22720
312	10337	22690
313	10368	22651
314	10400	22617
315	10433	22583
316	10464	22546
317	10500	22520
318	10534	22487
319	10563	22447
320	10593	22408
321	10623	22369
322	10651	22326
323	10683	22290
324	10716	22258
325	10751	22227
326	10782	22191
327	10813	22153
328	10844	22117
329	10876	22082
330	10917	22064
331	10954	22041
332	10984	22002
333	11017	21969
334	11056	21948
335	11094	21924
336	11128	21893
337	11159	21855
338	11189	21817
339	11220	21781
340	11250	21743
341	11281	21705
342	11316	21676
343	11347	21638
344	11378	21602
345	11410	21567
346	11443	21534
347	11477	21504
348	11513	21476
349	11544	21440
350	11576	21404
351	11609	21371
352	11639	21333
353	11671	21299
354	11707	21270
355	11736	21231
356	11770	21199
357	11802	21165
358	11832	21127
359	11868	21099
360	11906	21075
361	11938	21039
362	11969	21003
363	11999	20966
364	12032	20933
365	12063	20896
366	12097	20864
367	12128	20828
368	12159	20793
369	12190	20757
370	12220	20719
371	12253	20686
372	12287	20654
373	12320	20621
374	12350	20584
375	12383	20551
376	12413	20512
377	12442	20474
378	12474	20440
379	12505	20403
380	12536	20367
381	12568	20332
382	12601	20301
383	12632	20264
384	12665	20231
385	12697	20197
386	12730	20165
387	12760	20128
388	12794	20096
389	12826	20061
390	12858	20028
391	12892	19996
392	12924	19962
393	12957	19929
394	12986	19891
395	13016	19854
396	13052	19824
397	13082	19787
398	13114	19754
399	13146	19719
400	13179	19687
401	13210	19650
402	13244	19620
403	13275	19585
404	13306	19549
405	13338	19514
406	13370	19480
407	13401	19445
408	13436	19415
409	13466	19378
410	13497	19343
411	13528	19307
412	13559	19272
413	13589	19235
414	13624	19206
415	13657	19172
416	13688	19137
417	13719	19102
418	13753	19071
419	13783	19034
420	13817	19003
421	13853	18974
422	13891	18949
423	13924	18916
424	13957	18883
425	13994	18856
426	14029	18826
427	14061	18792
428	14091	18755
429	14120	18718
430	14152	18683
431	14183	18648
432	14220	18620
433	14252	18587
434	14285	18555
435	14316	18520
436	14346	18483
437	14378	18448
438	14413	18419
439	14448	18388
440	14485	18361
441	14517	18327
442	14547	18290
443	14579	18257
444	14614	18227
445	14649	18196
446	14680	18162
447	14712	18128
448	14744	18094
449	14776	18060
450	14811	18029
451	14841	17993
