,Loan_ID,Interest_Rate
0,10164310,3
1,10164311,1
2,10164312,1
3,10164313,3
4,10164314,2
5,10164315,2
6,10164316,3
7,10164317,1
8,10164318,2
9,10164319,3
10,10164320,3
11,10164321,3
12,10164322,1
13,10164323,2
14,10164324,2
15,10164325,1
16,10164326,2
17,10164327,3
18,10164328,3
19,10164329,2
20,10164330,2
21,10164331,3
22,10164332,3
23,10164333,2
24,10164334,2
25,10164335,3
26,10164336,3
27,10164337,1
28,10164338,2
29,10164339,2
30,10164340,3
31,10164341,3
32,10164342,2
33,10164343,3
34,10164344,2
35,10164345,2
36,10164346,2
37,10164347,3
38,10164348,1
39,10164349,2
40,10164350,1
41,10164351,2
42,10164352,2
43,10164353,2
44,10164354,3
45,10164355,1
46,10164356,1
47,10164357,2
48,10164358,2
49,10164359,3
50,10164360,2
51,10164361,2
52,10164362,2
53,10164363,2
54,10164364,2
55,10164365,2
56,10164366,3
57,10164367,1
58,10164368,2
59,10164369,2
60,10164370,2
61,10164371,3
62,10164372,2
63,10164373,3
64,10164374,1
65,10164375,2
66,10164376,2
67,10164377,1
68,10164378,2
69,10164379,1
70,10164380,2
71,10164381,3
72,10164382,3
73,10164383,3
74,10164384,2
75,10164385,3
76,10164386,2
77,10164387,3
78,10164388,3
79,10164389,2
80,10164390,2
81,10164391,2
82,10164392,1
83,10164393,3
84,10164394,1
85,10164395,3
86,10164396,2
87,10164397,3
88,10164398,2
89,10164399,2
90,10164400,2
91,10164401,2
92,10164402,2
93,10164403,2
94,10164404,1
95,10164405,2
96,10164406,2
97,10164407,3
98,10164408,2
99,10164409,3
100,10164410,2
101,10164411,2
102,10164412,2
103,10164413,3
104,10164414,1
105,10164415,2
106,10164416,3
107,10164417,2
108,10164418,3
109,10164419,1
110,10164420,3
111,10164421,3
112,10164422,1
113,10164423,3
114,10164424,2
115,10164425,3
116,10164426,1
117,10164427,3
118,10164428,1
119,10164429,3
120,10164430,1
121,10164431,2
122,10164432,2
123,10164433,2
124,10164434,2
125,10164435,3
126,10164436,3
127,10164437,1
128,10164438,2
129,10164439,3
130,10164440,2
131,10164441,2
132,10164442,3
133,10164443,2
134,10164444,3
135,10164445,2
136,10164446,2
137,10164447,1
138,10164448,3
139,10164449,2
140,10164450,2
141,10164451,3
142,10164452,2
143,10164453,2
144,10164454,1
145,10164455,3
146,10164456,3
147,10164457,2
148,10164458,1
149,10164459,2
150,10164460,1
151,10164461,3
152,10164462,2
153,10164463,1
154,10164464,3
155,10164465,2
156,10164466,2
157,10164467,2
158,10164468,1
159,10164469,2
160,10164470,1
161,10164471,3
162,10164472,1
163,10164473,2
164,10164474,1
165,10164475,2
166,10164476,3
167,10164477,2
168,10164478,2
169,10164479,3
170,10164480,2
171,10164481,3
172,10164482,2
173,10164483,2
174,10164484,1
175,10164485,1
