Loan_ID,Interest_Rate
10164310,3
10164311,1
10164312,2
10164313,2
10164314,1
10164315,2
10164316,3
10164317,2
10164318,2
10164319,2
10164320,3
10164321,3
10164322,3
10164323,1
10164324,2
10164325,1
10164326,2
10164327,2
10164328,2
10164329,3
10164330,2
10164331,1
10164332,3
10164333,1
10164334,1
10164335,2
10164336,3
10164337,2
10164338,2
10164339,2
10164340,1
10164341,3
10164342,2
10164343,3
10164344,3
10164345,3
10164346,3
10164347,3
10164348,3
10164349,2
10164350,2
10164351,2
10164352,1
10164353,3
10164354,2
10164355,3
10164356,2
10164357,3
10164358,3
10164359,2
10164360,2
10164361,1
10164362,3
10164363,2
10164364,2
10164365,1
10164366,2
10164367,2
10164368,1
10164369,3
10164370,2
10164371,2
10164372,3
10164373,2
10164374,3
10164375,2
10164376,2
10164377,1
10164378,1
10164379,1
10164380,3
10164381,3
10164382,2
10164383,2
10164384,2
10164385,2
10164386,2
10164387,1
10164388,3
10164389,2
10164390,3
10164391,2
10164392,1
10164393,3
10164394,2
10164395,2
10164396,2
10164397,3
10164398,1
10164399,3
10164400,3
10164401,3
10164402,2
10164403,2
10164404,2
10164405,3
10164406,2
10164407,1
10164408,2
10164409,2
10164410,1
10164411,1
10164412,2
10164413,3
10164414,2
10164415,2
10164416,3
10164417,2
10164418,2
10164419,3
10164420,3
10164421,2
10164422,2
10164423,3
10164424,2
10164425,2
10164426,2
10164427,3
10164428,2
10164429,2
10164430,2
10164431,2
10164432,2
10164433,1
10164434,3
10164435,2
10164436,3
10164437,2
10164438,2
10164439,2
10164440,3
10164441,2
10164442,2
10164443,3
10164444,1
10164445,2
10164446,3
10164447,1
10164448,1
10164449,1
10164450,2
10164451,3
10164452,2
10164453,3
10164454,1
10164455,2
10164456,2
10164457,1
10164458,1
10164459,3
10164460,3
10164461,3
10164462,2
10164463,1
10164464,1
10164465,2
10164466,3
10164467,3
10164468,2
10164469,3
10164470,2
10164471,2
10164472,3
10164473,2
10164474,2
10164475,3
10164476,3
10164477,3
10164478,2
10164479,3
10164480,3
10164481,1
10164482,3
10164483,2
10164484,2
10164485,3
10164486,1
10164487,3
10164488,2
10164489,2
10164490,2
10164491,3
10164492,3
10164493,3
10164494,3
10164495,2
10164496,2
10164497,2
10164498,2
10164499,2
